date,site,time,start lat,start long,end lat,end long,number ticks,comments,field code
8. Aug. 2018,RUTH,10:26,29.759697,-93.124619,29.759604,-93.125603,0, , 
8. Aug. 2018,RUTH,10:31,29.759426,-93.12577,29.759316,-93.124766,0, , 
20. Jun. 2018,RUTH,12:23,29.764585,-93.146003,29.764872,-93.146269,0, , 
20. Jun. 2018,RUTH,12:25,29.764798,-93.14634,29.764392,-93.146041,0, , 
9. Aug. 2018,LEBL,9:04,29.777619,-93.22806,29.777546,-93.227041,0, , 
9. Aug. 2018,LEBL,9:08,29.77753,-93.226858,29.777455,-93.225798,0, , 
9. Aug. 2018,LEBL,9:12,29.777422,-93.22544,29.777341,-93.224449,0, , 
9. Aug. 2018,LEBL,9:16,29.777179,-93.224293,29.777082,-93.223372,0, , 
9. Aug. 2018,LEBL,9:23,29.777147,-93.222212,29.777125,-93.22134,0, , 
9. Aug. 2018,LEBL,09:28,29.777339,-93.221785,29.777477,-93.222251,2, ,BBB2018060114
8. Aug. 2018,BROU,11:50,29.775329,-93.301341,29.775472,-93.300341,0, , 
8. Aug. 2018,BROU,11:53,29.775558,-93.299849,29.775978,-93.299763,0, , 
8. Aug. 2018,BROU,11:55,29.775602,-93.299383,29.77576,-93.29837,0, , 
8. Aug. 2018,BROU,11:59,29.775655,-93.2985,29.775502,-93.299622,0, , 
8. Aug. 2018,BROU,12:07,29.776202,-93.294788,29.776087,-93.295777,0, , 
8. Aug. 2018,BROU,12:10,29.776021,-93.295854,29.776157,-93.294774,0, , 
8. Aug. 2018,BROU,12:23,29.776292,-93.293834,29.776329,-93.292826,0, , 
8. Aug. 2018,BROU,12:26,29.77632,-93.292625,29.776215,-93.293616,0, , 
23. May. 2018,HOLLY,10:18,29.766518,-93.376728,29.766609,-93.377799,0, , 
23. May. 2018,HOLLY,10:24,29.766694,-93.377799,29.766639,-93.376665,0, , 
23. May. 2018,HOLLY,10:38,29.767108,-93.391184,29.767218,-93.392859,0, , 
3. Jun. 2018,PISP,13:03,29.88601,-92.15561,29.88697,-92.15548,0, , 
3. Jun. 2018,PISP,13:06,29.88727,-92.15545,29.88814,-92.15537,0, , 
24. Jul. 2018,PISP,18:32,29.878809,-92.150245,29.879094,-92.151211,0, , 
24. Jul. 2018,PISP,17:59,29.88713,-92.155472,29.887801,-92.155406,0, , 
10. Aug. 2018,CAM,15:21,29.945305,-93.08378,29.944991,-93.082018,0,light rain, 
10. Aug. 2018,CAM,15:39,29.944804,-93.079004,29.944777,-93.077979,0, , 
10. Aug. 2018,CAM,15:47,29.951644,-93.070387,29.951603,-93.069742,0, , 
10. Aug. 2018,CAM,15:54,29.951567,-93.07246,29.951591,-93.072748,0, , 
10. Aug. 2018,CAM,16:07,29.984425,-93.089009,29.985132,-93.088977,0, , 
10. Aug. 2018,CAM,16:12,29.985216,-93.088972,29.985796,-93.088969,0, , 
28. Jun. 2018,CAM,12:41,29.98452,-93.089,29.9852,-93.08901,0, , 
28. Jun. 2018,CAM,12:44,29.98532,-93.089,29.98598,-93.08899,0, , 
28. Jun. 2018,CAM,12:47,29.9861,-93.08892,29.98674,-93.0889,0, , 
28. Jun. 2018,CAM,12:50,29.98692,-93.08897,29.98757,-93.08902,0, , 
7. Aug. 2018,BBS,10:03,30.36967,-91.10589,30.36976,-91.10559,0, , 
7. Aug. 2018,BBS,10:06,20.3698,-91.10558,30.370049,-91.105776,0, , 
7. Aug. 2018,BBS,10:10,30.370108,-91.105808,30.370466,-91.105818,0, , 
7. Aug. 2018,BBS,10:23,30.370792,-91.105916,30.37109,-91.106192,0, , 
7. Aug. 2018,BBS,10:35,30.37069,-91.105756,30.37091,-91.104985,0, , 
7. Aug. 2018,BBS,10:38,30.370806,-91.105037,30.370167,-91.104358,0, , 
7. Aug. 2018,BBS,10:44,30.369608,-91.104985,30.369191,-91.105187,0, , 
7. Aug. 2018,BBS,10:48,30.368866,-91.106136,30.368726,-91.106655,0, , 
7. Aug. 2018,BBS,10:51,30.36857,-91.106556,30.368752,-91.10611,0, , 
7. Aug. 2018,BBS,10:54,30.368767,-91.105916,30.3684,-91.10608,0, , 
19. Aug. 2018,BBS,11:44,30.370157,-91.105865,30.370409,-91.105797,0, , 
19. Aug. 2018,BBS,11:42,30.369078,-91.106143,30.36988,-91.10603,0, , 
19. Aug. 2018,BBS,11:03,30.36969,-91.10584,30.37107,-91.10565,0, , 
